     ×´Ì¬Õ»                                                                          ·ûºÅÕ»                                                                                                                                                ÊäÈë´®                                                                          
46   0 3 20 29 29 11 40 78                             # { decls stmt stmt IF ( primary                                                                                                                      == NUM ) { ID = NUM ; } } #                                                     
47   0 3 20 29 29 11 40 81                             # { decls stmt stmt IF ( unary                                                                                                                        == NUM ) { ID = NUM ; } } #                                                     
48   0 3 20 29 29 11 40 80                             # { decls stmt stmt IF ( term                                                                                                                         == NUM ) { ID = NUM ; } } #                                                     
49   0 3 20 29 29 11 40 77                             # { decls stmt stmt IF ( expr                                                                                                                         == NUM ) { ID = NUM ; } } #                                                     
50   0 3 20 29 29 11 40 79                             # { decls stmt stmt IF ( rel                                                                                                                          == NUM ) { ID = NUM ; } } #                                                     
51   0 3 20 29 29 11 40 79 110                         # { decls stmt stmt IF ( rel ==                                                                                                                       NUM ) { ID = NUM ; } } #                                                        
52   0 3 20 29 29 11 40 79 110 73                      # { decls stmt stmt IF ( rel == NUM                                                                                                                   ) { ID = NUM ; } } #                                                            
53   0 3 20 29 29 11 40 79 110 78                      # { decls stmt stmt IF ( rel == primary                                                                                                               ) { ID = NUM ; } } #                                                            
54   0 3 20 29 29 11 40 79 110 81                      # { decls stmt stmt IF ( rel == unary                                                                                                                 ) { ID = NUM ; } } #                                                            
55   0 3 20 29 29 11 40 79 110 80                      # { decls stmt stmt IF ( rel == term                                                                                                                  ) { ID = NUM ; } } #                                                            
56   0 3 20 29 29 11 40 79 110 77                      # { decls stmt stmt IF ( rel == expr                                                                                                                  ) { ID = NUM ; } } #                                                            
57   0 3 20 29 29 11 40 79 110 79                      # { decls stmt stmt IF ( rel == rel                                                                                                                   ) { ID = NUM ; } } #                                                            
58   0 3 20 29 29 11 40 79 110 139                     # { decls stmt stmt IF ( rel == equality                                                                                                              ) { ID = NUM ; } } #                                                            
59   0 3 20 29 29 11 40 76                             # { decls stmt stmt IF ( equality                                                                                                                     ) { ID = NUM ; } } #                                                            
60   0 3 20 29 29 11 40 74                             # { decls stmt stmt IF ( assignment                                                                                                                   ) { ID = NUM ; } } #                                                            
61   0 3 20 29 29 11 40 75                             # { decls stmt stmt IF ( bool                                                                                                                         ) { ID = NUM ; } } #                                                            
62   0 3 20 29 29 11 40 75 104                         # { decls stmt stmt IF ( bool )                                                                                                                       { ID = NUM ; } } #                                                              
63   0 3 20 29 29 11 40 75 104 133                     # { decls stmt stmt IF ( bool ) {                                                                                                                     ID = NUM ; } } #                                                                
64   0 3 20 29 29 11 40 75 104 133 10                  # { decls stmt stmt IF ( bool ) { ID                                                                                                                  = NUM ; } } #                                                                   
65   0 3 20 29 29 11 40 75 104 133 10 39               # { decls stmt stmt IF ( bool ) { ID =                                                                                                                NUM ; } } #                                                                     
66   0 3 20 29 29 11 40 75 104 133 10 39 13            # { decls stmt stmt IF ( bool ) { ID = NUM                                                                                                            ; } } #                                                                         
67   0 3 20 29 29 11 40 75 104 133 10 39 26            # { decls stmt stmt IF ( bool ) { ID = primary                                                                                                        ; } } #                                                                         
68   0 3 20 29 29 11 40 75 104 133 10 39 32            # { decls stmt stmt IF ( bool ) { ID = unary                                                                                                          ; } } #                                                                         
69   0 3 20 29 29 11 40 75 104 133 10 39 31            # { decls stmt stmt IF ( bool ) { ID = term                                                                                                           ; } } #                                                                         
70   0 3 20 29 29 11 40 75 104 133 10 39 22            # { decls stmt stmt IF ( bool ) { ID = expr                                                                                                           ; } } #                                                                         
71   0 3 20 29 29 11 40 75 104 133 10 39 27            # { decls stmt stmt IF ( bool ) { ID = rel                                                                                                            ; } } #                                                                         
72   0 3 20 29 29 11 40 75 104 133 10 39 21            # { decls stmt stmt IF ( bool ) { ID = equality                                                                                                       ; } } #                                                                         
73   0 3 20 29 29 11 40 75 104 133 10 39 70            # { decls stmt stmt IF ( bool ) { ID = assignment                                                                                                     ; } } #                                                                         
74   0 3 20 29 29 11 40 75 104 133 16                  # { decls stmt stmt IF ( bool ) { assignment                                                                                                          ; } } #                                                                         
75   0 3 20 29 29 11 40 75 104 133 18                  # { decls stmt stmt IF ( bool ) { bool                                                                                                                ; } } #                                                                         
76   0 3 20 29 29 11 40 75 104 133 18 46               # { decls stmt stmt IF ( bool ) { bool ;                                                                                                              } } #                                                                           
77   0 3 20 29 29 11 40 75 104 133 23                  # { decls stmt stmt IF ( bool ) { expression_statement                                                                                                } } #                                                                           
78   0 3 20 29 29 11 40 75 104 133 29                  # { decls stmt stmt IF ( bool ) { stmt                                                                                                                } } #                                                                           
